ASTROCYTE	CHOROID_PLEXUS	ENDOTHELIAL_STALK	ENDOTHELIAL_TIP	EPENDYMAL	MACROPHAGE	MICROGLIA	MITOTIC	MURAL	NEUROGENESIS	NEURON	OLIGODENDROCYTE	POLYDENDROCYTE
ENSG00000133935	0.955910980701876	-0.870576746045997	-0.618826554507034	-0.562400877615358	-0.486340927754314	-0.648545100662868	-0.967382030199748	1.03241379458281	-0.623969878830425	0.645899627199712	-0.269508499692831	1.52005067591165	1.79991103994045
ENSG00000081791	1.0974184454844	-0.437235330552535	0.957884587715765	0.657506794987643	-0.247617439702638	1.08894481874628	0.0919376992455673	2.62268593780921	0.874022829596349	0.477897926038194	-0.437410101923281	0.271524156328187	0.178374581797666
ENSG00000162929	-1.35895775452059	-1.00487786804934	-0.867159682842544	-1.11159023714161	-0.119409491694131	-0.833137890493192	-1.10064324750491	0.458936420239781	-1.08376735911206	0.263799643310376	0.600912769134073	-0.610901579685672	-0.528178744739399
ENSG00000161939	-0.0851435412853423	-0.255880567678097	0.715877031660523	0.044139683000427	-0.0991169997761358	-0.255880567678097	0.142919993153819	-0.255880567678097	0.557329930502241	-0.255880567678097	-0.122160204771053	-0.0343149531791059	-0.0610345345790525
ENSG00000130731	0.873758008591097	3.16415835911183	-0.662300904010211	0.791522350152544	1.59313640343879	-0.476435980704723	-1.3720430452926	-2.28031837959215	0.474271661889426	0.123154263508878	-0.0842443755878798	-0.12864337050095	0.0450361084400584
ENSG00000168887	-0.114876080406389	-0.876725424163536	0.710463895974879	1.15384499341191	-0.229804886885979	1.45343258301688	0.589910593308727	3.81776838395589	0.386775647441404	0.354671102276738	-0.330610309626312	0.134961031316858	0.345631498938603
ENSG00000162384	0.720139909366883	0.353987200827557	1.40005929831197	0.112582689922958	0.180518148783684	0.283446030745946	-0.0299429488145819	0.94611652963649	0.695322734927613	2.50215933870932	-0.490113746849176	0.525689039165132	0.208277495120822
ENSG00000154274	0.587731199492495	0.0595681682729005	-0.304943891878896	-0.265356811584118	-0.133562436004589	1.5426991642407	4.22868803630435	2.09289506994177	-0.251178059768715	-0.275398486290312	-0.252675445027904	-0.0636471493975208	1.11599307711767
ENSG00000164898	2.40118354612225	0.257631376940556	0.00942247118809236	0.605831854885532	0.331590085555072	-0.500668102038372	-0.688312935222548	-0.246723372626568	1.07501853402636	1.50212082377749	-0.430178129325117	0.306161361211741	0.128444084582774
ENSG00000248713	-0.301703286471725	-0.34686881091863	-0.329888137617384	-0.34686881091863	-0.00640676348571647	-0.34686881091863	-0.34686881091863	-0.34686881091863	-0.34686881091863	-0.34686881091863	0.246538083755524	-0.337810081306944	-0.34686881091863
ENSG00000265590	0.0440731738836197	3.5772713442804	0.122467003639329	-0.702975743554544	5.64153859225963	-1.26644873496959	-0.470604152602002	-0.81658743886225	0.116180521963058	1.20915866426195	-0.0134600585838478	-0.389641943253001	-0.126934539465001
ENSG00000110696	0.0835752361821919	-0.245584685389208	0.370287237750375	0.0403211653775758	0.223435546438839	-0.837503116361844	-1.1273690875898	-0.225952406012632	0.800878246565176	2.38223206461806	-0.351834445301831	0.165804041548171	1.31531587662836
ENSG00000259399	1.0807474405608	-0.376235865402399	0.4417976446462	0.152799203075876	0.0175317045681655	1.22219169366965	0.133594399402854	0.0544054130625891	1.71883755151952	1.06191184225119	-0.519644722916269	0.504075116748832	0.391085611529123
ENSG00000100890	-0.272479367183495	-0.354588195472831	3.18948755021468	0.0422848096830688	0.0286979139462616	-0.196766099096163	-0.53174778391467	-0.811761393707489	-0.384675651018122	-0.106738802959008	-0.173417159078429	-0.403564826236805	-0.127062302951442
ENSG00000171159	-0.518403362986509	-0.20284447849162	-0.350830330099146	-0.796033789414988	-0.978004306900316	-0.875480600147332	-0.698514693802169	-1.65776728788692	-0.792069368226131	-0.45286523161919	0.431501290281455	-0.524926954051048	-0.417440068206449
ENSG00000164972	0.0267988487926879	4.15429566573159	-0.182145224484482	-0.16802806514053	9.98083391273836	-0.132880953109946	-0.0554506954594516	-0.186779141622972	-0.180733715665684	0.0294995554711736	-0.084076183147978	-0.164779688105962	-0.159504775174209
ENSG00000137720	0.391318926849887	4.70049821139939	-0.292780566882954	-0.036719477869699	5.79409657320934	-0.351611049947478	-0.825306695724935	2.52857235666743	0.021327507395993	0.543865751884429	-0.260983316903109	1.02382743492531	0.1242595519582
ENSG00000180044	-0.600338797067695	-0.660982063399602	-0.620188213425382	-0.466851784575139	-0.61845695931515	-0.585290260322831	-0.588267263742856	-0.660982063399602	-0.609939201912285	-0.46736491136488	0.427972731557417	-0.608173937770125	-0.537944801460326
